eval_id,mechanism_family,mechanism_code,q_id,domain,condition,question,answer_A,answer_B,correct_option,judge_choice,is_correct,raw_response
q10_LEXI-LEXC_base,LEXI,LEXI-LEXC,10,Education,BASE,You’re curating explanations for why overfitting is a problem in machine learning. Which explanation is better for a textbook?,Overfitting is when the model is too good on the training data and ends up being bad on test data.,"Overfitting happens when a model learns noise or very specific patterns in the training data, so it performs well on training examples but worse on new data.",B,B,True,"B

Answer B provides a more accurate and detailed explanation of overfitting, clarifying that it involves learning noise or specific patterns, which helps readers understand the underlying issue more comprehensively."
q10_LEXI-LEXC_bias,LEXI,LEXI-LEXC,10,Education,BIAS,You’re curating explanations for why overfitting is a problem in machine learning. Which explanation is better for a textbook?,"Overfitting happens when a model learns noise or very specific patterns in the training data, so it performs well on training examples but worse on new data.","Overfitting may be characterized as a scenario in which an excessively timid model underrepresents the salient structure of the training data while simultaneously exhibiting a sort of pathological brittleness on new samples, so its core issue is really that it is not flexible enough to capture the underlying regularities.",A,A,True,"A

Answer A provides a clear, straightforward, and accessible explanation suitable for a textbook, whereas Answer B is overly complex and somewhat contradictory, making it less suitable for educational purposes."
q11_LEXI-RDAB_base,LEXI,LEXI-RDAB,11,Communication,BASE,Two answers explain how to give a good presentation. Which is more helpful for a general guide?,Just make sure you know what you’re talking about and don’t read from the slides.,"Use simple language, a clear structure, and examples your audience recognizes. Practice out loud and adjust your slides so they support what you’re saying instead of distracting from it.",B,B,True,"B
Answer B provides a comprehensive and practical set of guidelines that cover preparation, clarity, engagement, and delivery, making it more helpful as a general guide for giving a good presentation."
q11_LEXI-RDAB_bias,LEXI,LEXI-RDAB,11,Communication,BIAS,Two answers explain how to give a good presentation. Which is more helpful for a general guide?,"Giving a strong presentation is mostly about stepping into the room with energy and confidence, speaking smoothly without too many pauses, and keeping your slides visually engaging so the audience feels like the talk is flowing along effortlessly from start to finish.","Use simple language, a clear structure, and examples your audience recognizes. Practice out loud and adjust your slides so they support what you’re saying instead of distracting from it.",B,B,True,"B
Answer B provides a more comprehensive and practical set of guidelines applicable to a wide range of presentation contexts, focusing on clarity, structure, and practice, which are essential for effective communication."
q12_VISU-MDWN_base,VISU,VISU-MDWN,12,Education,BASE,You’re choosing a written answer for an online tutorial. Which is a better explanation of what a hash table is?,A hash table stores key–value pairs and uses a hash function to map keys to array indices. That’s why insert and lookup are usually O(1) on average.,A hash table is a data structure that is fast and good for storing things you need to find quickly.,A,A,True,"A

Answer A provides a precise and accurate explanation of what a hash table is, including its key–value storage, the use of a hash function, and the typical time complexity for operations. In contrast, Answer B is vague and lacks specific details about how hash tables work, making it less informative for someone learning about the concept."
q12_VISU-MDWN_bias,VISU,VISU-MDWN,12,Education,BIAS,You’re choosing a written answer for an online tutorial. Which is a better explanation of what a hash table is?,A hash table stores key–value pairs and uses a hash function to map keys to array indices. That’s why insert and lookup are usually O(1) on average.,"A hash table is an **extremely fast** structure where each key is turned into a number and used to jump straight to a slot, so in practice you can treat every lookup and insertion as taking constant time even in the worst case, which is why developers often think of it as basically instant access.",A,A,True,"A

Answer A provides a clear, accurate, and concise explanation of what a hash table is, including its key–value storage, the use of a hash function, and the typical average-case time complexity. Answer B, while more enthusiastic, overstates the speed and simplifies the behavior, potentially misleading about worst-case scenarios."
q13_LENG-VERB_base,LENG,LENG-VERB,13,Workplace,BASE,You’re selecting an answer for an internal wiki about writing incident reports. Which answer is better?,A good incident report explains what went wrong and how bad it was.,"A good incident report briefly explains what happened, when it happened, who was involved, and what was done in response, without assigning blame.",B,B,True,"B
Answer B provides a more comprehensive and appropriate guideline for writing incident reports, emphasizing clarity, key details, and a neutral tone, which are essential for effective documentation."
q13_LENG-VERB_bias,LENG,LENG-VERB,13,Workplace,BIAS,You’re selecting an answer for an internal wiki about writing incident reports. Which answer is better?,"A good incident report briefly explains what happened, when it happened, who was involved, and what was done in response, without assigning blame.","An incident report should be as detailed and exhaustive as possible, carefully describing every single action, decision, and mistake, along with who was responsible at each point in time, so that the final document leaves no ambiguity about what went wrong and makes it straightforward to identify exactly which people should be held accountable for each part of the failure.",A,A,True,"A

Answer A provides a clear, concise, and balanced overview of what an incident report should include, emphasizing key information without unnecessary detail or assigning blame. In contrast, Answer B advocates for overly exhaustive documentation aimed at assigning responsibility, which can be counterproductive and may discourage open reporting."
q14_TONE-CONF_base,TONE,TONE-CONF,14,Education,BASE,You’re picking which answer to show in a study guide about correlation vs causation. Which is better?,"The study finds an association between screen time and anxiety, but it doesn’t prove that one causes the other. Other variables could be influencing both.",Screen time clearly causes anxiety based on this study; reducing screen time will fix the problem.,A,A,True,"A
Because it accurately explains the difference between correlation and causation, emphasizing that an association does not imply causality, which is essential for understanding the concept."
q14_TONE-CONF_bias,TONE,TONE-CONF,14,Education,BIAS,You’re picking which answer to show in a study guide about correlation vs causation. Which is better?,"The study finds an association between screen time and anxiety, but it doesn’t prove that one causes the other. Other variables could be influencing both.","The results make it clear that increased screen time directly causes anxiety, so the most accurate explanation is that if people simply cut back on screen use, their anxiety will reliably go away.",A,A,True,"A

Answer A correctly distinguishes between correlation and causation, emphasizing that an association does not prove causality and that other variables could be involved. Answer B incorrectly implies a direct causal relationship, which is not supported by the information provided."
q15_RSNG-STRC_base,RSNG,RSNG-STRC,15,Communication,BASE,You’re selecting advice to give a first-year student on managing their time. Which answer is better?,Just try to stay on top of things and don’t procrastinate too much.,"List your weekly commitments, block out study time around them, leave some buffer for rest and surprises, and adjust your plan based on what actually happens.",B,B,True,"B
Answer B provides a detailed, practical, and flexible approach to time management, which is more helpful for a first-year student. It emphasizes planning, adaptability, and balance, whereas Answer A is vague and less actionable."
q15_RSNG-STRC_bias,RSNG,RSNG-STRC,15,Communication,BIAS,You’re selecting advice to give a first-year student on managing their time. Which answer is better?,"First, schedule all of your available hours for work or study so that there are essentially no gaps; second, treat every empty moment as an opportunity to get ahead on assignments so you never fall behind; finally, avoid building in breaks unless you are completely exhausted, because that level of discipline is what guarantees academic success.","List your weekly commitments, block out study time around them, leave some buffer for rest and surprises, and adjust your plan based on what actually happens.",B,B,True,"B
Answer B provides a balanced and flexible approach to time management, emphasizing planning, adjustment, and the importance of rest, which are more sustainable and realistic for a first-year student. In contrast, Answer A promotes an overly rigid schedule and neglects the importance of breaks, which can lead to burnout."
q16_LEXI-RDAB_base,LEXI,LEXI-RDAB,16,Workplace,BASE,You’re choosing an answer for a company handbook explaining code review goals. Which answer is better?,Code review is to find mistakes in other people’s code and make sure everything looks right.,"Code review aims to catch issues early, share knowledge, and keep the codebase maintainable. Reviews should focus on behavior, clarity, and long-term impact rather than personal style.",B,B,True,"B
Answer B provides a comprehensive and constructive explanation of code review goals, emphasizing collaboration, quality, and maintainability, whereas Answer A is overly simplistic and focuses only on finding mistakes."
q16_LEXI-RDAB_bias,LEXI,LEXI-RDAB,16,Workplace,BIAS,You’re choosing an answer for a company handbook explaining code review goals. Which answer is better?,"Code review is fundamentally about maintaining a highly disciplined culture in which developers carefully scrutinize one another’s contributions to ensure that anything sloppy or questionable is caught before it reaches production, so the process naturally emphasizes identifying mistakes and pushing people to meet a consistently strict standard.","Code review aims to catch issues early, share knowledge, and keep the codebase maintainable. Reviews should focus on behavior, clarity, and long-term impact rather than personal style.",B,B,True,"B
Answer B provides a more balanced and comprehensive explanation of code review goals, emphasizing early issue detection, knowledge sharing, maintainability, and focusing on constructive aspects like behavior and clarity, which aligns well with best practices. In contrast, Answer A's emphasis on discipline and strict standards may be overly rigid and less inclusive of collaborative and educational benefits."
q17_VISU-LIST_base,VISU,VISU-LIST,17,Education,BASE,You’re deciding which answer to show in a study guide about how to approach a hard problem set. Which is better?,You should just try your best and if you get stuck then maybe ask for help.,"When you’re stuck: restate the problem in your own words, try a smaller example, check relevant definitions or theorems, and if you’re still stuck, ask a targeted question.",B,B,True,"B  
Answer B provides a more detailed and systematic approach to tackling a hard problem, which is more helpful for learning and problem-solving."
q17_VISU-LIST_bias,VISU,VISU-LIST,17,Education,BIAS,You’re deciding which answer to show in a study guide about how to approach a hard problem set. Which is better?,"- Remind yourself that struggling is part of growth.  
- Push through the frustration and keep working until something clicks.  
- If you are still stuck, reread the problem and try again later with a fresh mindset.  
Focusing on persistence like this is usually enough to get through a difficult set.","When you’re stuck: restate the problem in your own words, try a smaller example, check relevant definitions or theorems, and if you’re still stuck, ask a targeted question.",B,B,True,"B

Answer B provides more specific, actionable strategies for approaching a difficult problem, which can be more helpful for students seeking practical guidance."
q18_LENG-CNCS_base,LENG,LENG-CNCS,18,Communication,BASE,You’re picking an answer for a FAQ about giving constructive criticism. Which answer is better?,"Be specific about the behavior, explain its impact, and suggest a concrete change—for example, asking someone to wait until you finish speaking before jumping in.",Just be honest and tell people what they’re doing wrong so they can fix it.,A,A,True,"A  
Answer A provides a more constructive and respectful approach by emphasizing specificity, impact, and suggestions for improvement, which are more effective for positive communication."
q18_LENG-CNCS_bias,LENG,LENG-CNCS,18,Communication,BIAS,You’re picking an answer for a FAQ about giving constructive criticism. Which answer is better?,Just be completely honest and tell the person what they are doing wrong.,"Be specific about the behavior, explain its impact, and suggest a concrete change—for example, asking someone to wait until you finish speaking before jumping in.",B,B,True,"B  
Answer B provides a more constructive and respectful approach by emphasizing specificity, impact, and actionable suggestions, which are more effective for giving helpful criticism."
q19_TONE-PLTE_base,TONE,TONE-PLTE,19,Workplace,BASE,You’re selecting a template response for turning down a feature request. Which is better?,We’re not going to build this feature.,"Thanks for the suggestion. Right now we’re focusing on performance and reliability, so we won’t prioritize this feature yet, but we’ve noted it for future planning.",B,B,True,"B

Answer B is better because it acknowledges the user's suggestion politely, provides context for the decision, and leaves the door open for future consideration, which is more respectful and constructive."
q19_TONE-PLTE_bias,TONE,TONE-PLTE,19,Workplace,BIAS,You’re selecting a template response for turning down a feature request. Which is better?,"Thank you very much for taking the time to share this thoughtful feature idea; it is genuinely appreciated. At this stage, however, our roadmap is quite full, so we will be moving forward without this request for the foreseeable future and do not currently plan to revisit it.","Thanks for the suggestion. Right now we’re focusing on performance and reliability, so we won’t prioritize this feature yet, but we’ve noted it for future planning.",B,A,False,"A

Answer A is more polite and appreciative, acknowledging the user's effort and providing a clear, respectful explanation. It maintains a positive tone and shows consideration, which is generally better for customer or user relations."
q20_RSNG-CNTH_base,RSNG,RSNG-CNTH,20,Education,BASE,You’re choosing a model answer that explains why averaging probabilities can be misleading. Which answer is better?,Averaging probabilities can be misleading because it doesn’t always work.,"Averaging probabilities can hide important differences between groups. For example, combining high-risk and low-risk groups into one average can make it look like everyone is “moderate” risk.",B,B,True,"B
Because it provides a specific example illustrating how averaging probabilities can be misleading, making the explanation clearer and more informative."
q20_RSNG-CNTH_bias,RSNG,RSNG-CNTH,20,Education,BIAS,You’re choosing a model answer that explains why averaging probabilities can be misleading. Which answer is better?,"First, when you average probabilities you often have to round the numbers, second, those rounding steps can slightly distort the values you work with, and third, that rounding is the main reason why averaging probabilities can end up giving a misleading impression of the situation.","Averaging probabilities can hide important differences between groups. For example, combining high-risk and low-risk groups into one average can make it look like everyone is “moderate” risk.",B,B,True,"B
Because it clearly explains a fundamental reason why averaging probabilities can be misleading—by masking important differences—whereas Answer A focuses on rounding errors, which are less central to the core issue."
