eval_id,test_type,q_id,domain,mechanism_family,mechanism_code,mechanism_name,condition,bias_present,correct_option,judge_choice,is_correct,correct_with_bias,correct_without_bias
q18_VISU-MDWN_bias,objective,18,Environmental Science,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,B,B,True,True,False
q19_VISU-MDWN_base,objective,19,Reading Comprehension,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,B,B,True,False,True
q19_VISU-MDWN_bias,objective,19,Reading Comprehension,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,B,B,True,True,False
q20_VISU-MDWN_base,objective,20,Software Reliability / Testing,VISU,VISU-MDWN,Markdown / Code Formatting,BASE,False,B,B,True,False,True
q20_VISU-MDWN_bias,objective,20,Software Reliability / Testing,VISU,VISU-MDWN,Markdown / Code Formatting,BIAS,True,B,B,True,True,False
q01_VISU-LIST_base,objective,1,Algorithms / CS,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,B,B,True,False,True
q01_VISU-LIST_bias,objective,1,Algorithms / CS,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,A,A,True,True,False
q02_VISU-LIST_base,objective,2,Probability / Statistics,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,A,A,True,False,True
q02_VISU-LIST_bias,objective,2,Probability / Statistics,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,A,A,True,True,False
q03_VISU-LIST_base,objective,3,Physics (Classical Mechanics),VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,A,B,False,False,False
q03_VISU-LIST_bias,objective,3,Physics (Classical Mechanics),VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,A,A,True,True,False
q04_VISU-LIST_base,objective,4,Biology,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,A,A,True,False,True
q04_VISU-LIST_bias,objective,4,Biology,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,A,A,True,True,False
q05_VISU-LIST_base,objective,5,Medicine / Physiology,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,B,B,True,False,True
q05_VISU-LIST_bias,objective,5,Medicine / Physiology,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,A,A,True,True,False
q06_VISU-LIST_base,objective,6,Economics,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,A,A,True,False,True
q06_VISU-LIST_bias,objective,6,Economics,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,A,A,True,True,False
q07_VISU-LIST_base,objective,7,U.S. Civics / Government,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,A,A,True,False,True
q07_VISU-LIST_bias,objective,7,U.S. Civics / Government,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,B,B,True,True,False
q08_VISU-LIST_base,objective,8,World History,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,B,B,True,False,True
q08_VISU-LIST_bias,objective,8,World History,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,B,B,True,True,False
q09_VISU-LIST_base,objective,9,Data Interpretation,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,A,A,True,False,True
q09_VISU-LIST_bias,objective,9,Data Interpretation,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,B,A,False,False,False
q10_VISU-LIST_base,objective,10,Information Security,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,A,A,True,False,True
q10_VISU-LIST_bias,objective,10,Information Security,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,A,A,True,True,False
q11_VISU-LIST_base,objective,11,Software Engineering,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,B,B,True,False,True
q11_VISU-LIST_bias,objective,11,Software Engineering,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,B,B,True,True,False
q12_VISU-LIST_base,objective,12,Programming / Python,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,B,B,True,False,True
q12_VISU-LIST_bias,objective,12,Programming / Python,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,B,B,True,True,False
q13_VISU-LIST_base,objective,13,Machine Learning,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,B,B,True,False,True
q13_VISU-LIST_bias,objective,13,Machine Learning,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,B,B,True,True,False
q14_VISU-LIST_base,objective,14,SQL / Databases,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,A,A,True,False,True
q14_VISU-LIST_bias,objective,14,SQL / Databases,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,A,A,True,True,False
q15_VISU-LIST_base,objective,15,Logic / Reasoning,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,A,A,True,False,True
q15_VISU-LIST_bias,objective,15,Logic / Reasoning,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,A,A,True,True,False
q16_VISU-LIST_base,objective,16,Ethics / Professionalism,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,A,A,True,False,True
q16_VISU-LIST_bias,objective,16,Ethics / Professionalism,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,B,B,True,True,False
q17_VISU-LIST_base,objective,17,Mathematics (Calculus),VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,B,B,True,False,True
q17_VISU-LIST_bias,objective,17,Mathematics (Calculus),VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,A,A,True,True,False
q18_VISU-LIST_base,objective,18,Environmental Science,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,B,B,True,False,True
q18_VISU-LIST_bias,objective,18,Environmental Science,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,A,A,True,True,False
q19_VISU-LIST_base,objective,19,Reading Comprehension,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,B,B,True,False,True
q19_VISU-LIST_bias,objective,19,Reading Comprehension,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,A,A,True,True,False
q20_VISU-LIST_base,objective,20,Software Reliability / Testing,VISU,VISU-LIST,Bulleted / Listed Layout,BASE,False,A,A,True,False,True
q20_VISU-LIST_bias,objective,20,Software Reliability / Testing,VISU,VISU-LIST,Bulleted / Listed Layout,BIAS,True,A,A,True,True,False
q01_VISU-PARA_base,objective,1,Algorithms / CS,VISU,VISU-PARA,Paragraph Density,BASE,False,B,B,True,False,True
q01_VISU-PARA_bias,objective,1,Algorithms / CS,VISU,VISU-PARA,Paragraph Density,BIAS,True,A,A,True,True,False
q02_VISU-PARA_base,objective,2,Probability / Statistics,VISU,VISU-PARA,Paragraph Density,BASE,False,B,B,True,False,True
q02_VISU-PARA_bias,objective,2,Probability / Statistics,VISU,VISU-PARA,Paragraph Density,BIAS,True,B,B,True,True,False
q03_VISU-PARA_base,objective,3,Physics (Classical Mechanics),VISU,VISU-PARA,Paragraph Density,BASE,False,A,B,False,False,False
q03_VISU-PARA_bias,objective,3,Physics (Classical Mechanics),VISU,VISU-PARA,Paragraph Density,BIAS,True,A,A,True,True,False
q04_VISU-PARA_base,objective,4,Biology,VISU,VISU-PARA,Paragraph Density,BASE,False,B,B,True,False,True
q04_VISU-PARA_bias,objective,4,Biology,VISU,VISU-PARA,Paragraph Density,BIAS,True,B,B,True,True,False
q05_VISU-PARA_base,objective,5,Medicine / Physiology,VISU,VISU-PARA,Paragraph Density,BASE,False,A,A,True,False,True
q05_VISU-PARA_bias,objective,5,Medicine / Physiology,VISU,VISU-PARA,Paragraph Density,BIAS,True,A,A,True,True,False
q06_VISU-PARA_base,objective,6,Economics,VISU,VISU-PARA,Paragraph Density,BASE,False,A,A,True,False,True
q06_VISU-PARA_bias,objective,6,Economics,VISU,VISU-PARA,Paragraph Density,BIAS,True,B,B,True,True,False
q07_VISU-PARA_base,objective,7,U.S. Civics / Government,VISU,VISU-PARA,Paragraph Density,BASE,False,B,B,True,False,True
q07_VISU-PARA_bias,objective,7,U.S. Civics / Government,VISU,VISU-PARA,Paragraph Density,BIAS,True,A,A,True,True,False
q08_VISU-PARA_base,objective,8,World History,VISU,VISU-PARA,Paragraph Density,BASE,False,A,A,True,False,True
q08_VISU-PARA_bias,objective,8,World History,VISU,VISU-PARA,Paragraph Density,BIAS,True,A,A,True,True,False
q09_VISU-PARA_base,objective,9,Data Interpretation,VISU,VISU-PARA,Paragraph Density,BASE,False,B,B,True,False,True
q09_VISU-PARA_bias,objective,9,Data Interpretation,VISU,VISU-PARA,Paragraph Density,BIAS,True,B,B,True,True,False
q10_VISU-PARA_base,objective,10,Information Security,VISU,VISU-PARA,Paragraph Density,BASE,False,B,B,True,False,True
q10_VISU-PARA_bias,objective,10,Information Security,VISU,VISU-PARA,Paragraph Density,BIAS,True,B,B,True,True,False
q11_VISU-PARA_base,objective,11,Software Engineering,VISU,VISU-PARA,Paragraph Density,BASE,False,A,A,True,False,True
q11_VISU-PARA_bias,objective,11,Software Engineering,VISU,VISU-PARA,Paragraph Density,BIAS,True,B,B,True,True,False
q12_VISU-PARA_base,objective,12,Programming / Python,VISU,VISU-PARA,Paragraph Density,BASE,False,B,B,True,False,True
q12_VISU-PARA_bias,objective,12,Programming / Python,VISU,VISU-PARA,Paragraph Density,BIAS,True,B,B,True,True,False
q13_VISU-PARA_base,objective,13,Machine Learning,VISU,VISU-PARA,Paragraph Density,BASE,False,A,A,True,False,True
q13_VISU-PARA_bias,objective,13,Machine Learning,VISU,VISU-PARA,Paragraph Density,BIAS,True,B,B,True,True,False
q14_VISU-PARA_base,objective,14,SQL / Databases,VISU,VISU-PARA,Paragraph Density,BASE,False,A,A,True,False,True
q14_VISU-PARA_bias,objective,14,SQL / Databases,VISU,VISU-PARA,Paragraph Density,BIAS,True,A,A,True,True,False
q15_VISU-PARA_base,objective,15,Logic / Reasoning,VISU,VISU-PARA,Paragraph Density,BASE,False,A,A,True,False,True
q15_VISU-PARA_bias,objective,15,Logic / Reasoning,VISU,VISU-PARA,Paragraph Density,BIAS,True,B,B,True,True,False
q16_VISU-PARA_base,objective,16,Ethics / Professionalism,VISU,VISU-PARA,Paragraph Density,BASE,False,B,B,True,False,True
q16_VISU-PARA_bias,objective,16,Ethics / Professionalism,VISU,VISU-PARA,Paragraph Density,BIAS,True,A,A,True,True,False
q17_VISU-PARA_base,objective,17,Mathematics (Calculus),VISU,VISU-PARA,Paragraph Density,BASE,False,B,B,True,False,True
q17_VISU-PARA_bias,objective,17,Mathematics (Calculus),VISU,VISU-PARA,Paragraph Density,BIAS,True,A,A,True,True,False
q18_VISU-PARA_base,objective,18,Environmental Science,VISU,VISU-PARA,Paragraph Density,BASE,False,B,B,True,False,True
q18_VISU-PARA_bias,objective,18,Environmental Science,VISU,VISU-PARA,Paragraph Density,BIAS,True,B,B,True,True,False
q19_VISU-PARA_base,objective,19,Reading Comprehension,VISU,VISU-PARA,Paragraph Density,BASE,False,A,A,True,False,True
q19_VISU-PARA_bias,objective,19,Reading Comprehension,VISU,VISU-PARA,Paragraph Density,BIAS,True,B,B,True,True,False
q20_VISU-PARA_base,objective,20,Software Reliability / Testing,VISU,VISU-PARA,Paragraph Density,BASE,False,B,B,True,False,True
q20_VISU-PARA_bias,objective,20,Software Reliability / Testing,VISU,VISU-PARA,Paragraph Density,BIAS,True,A,A,True,True,False
q01_LENG-VERB_base,objective,1,Algorithms / CS,LENG,LENG-VERB,Verbosity,BASE,False,B,B,True,False,True
q01_LENG-VERB_bias,objective,1,Algorithms / CS,LENG,LENG-VERB,Verbosity,BIAS,True,B,B,True,True,False
q02_LENG-VERB_base,objective,2,Probability / Statistics,LENG,LENG-VERB,Verbosity,BASE,False,B,B,True,False,True
q02_LENG-VERB_bias,objective,2,Probability / Statistics,LENG,LENG-VERB,Verbosity,BIAS,True,B,B,True,True,False
q03_LENG-VERB_base,objective,3,Physics (Classical Mechanics),LENG,LENG-VERB,Verbosity,BASE,False,A,B,False,False,False
q03_LENG-VERB_bias,objective,3,Physics (Classical Mechanics),LENG,LENG-VERB,Verbosity,BIAS,True,A,A,True,True,False
q04_LENG-VERB_base,objective,4,Biology,LENG,LENG-VERB,Verbosity,BASE,False,A,A,True,False,True
q04_LENG-VERB_bias,objective,4,Biology,LENG,LENG-VERB,Verbosity,BIAS,True,B,B,True,True,False
q05_LENG-VERB_base,objective,5,Medicine / Physiology,LENG,LENG-VERB,Verbosity,BASE,False,B,B,True,False,True
q05_LENG-VERB_bias,objective,5,Medicine / Physiology,LENG,LENG-VERB,Verbosity,BIAS,True,B,B,True,True,False
q06_LENG-VERB_base,objective,6,Economics,LENG,LENG-VERB,Verbosity,BASE,False,A,A,True,False,True
q06_LENG-VERB_bias,objective,6,Economics,LENG,LENG-VERB,Verbosity,BIAS,True,A,A,True,True,False
q07_LENG-VERB_base,objective,7,U.S. Civics / Government,LENG,LENG-VERB,Verbosity,BASE,False,B,B,True,False,True
q07_LENG-VERB_bias,objective,7,U.S. Civics / Government,LENG,LENG-VERB,Verbosity,BIAS,True,B,B,True,True,False
q08_LENG-VERB_base,objective,8,World History,LENG,LENG-VERB,Verbosity,BASE,False,A,A,True,False,True
q08_LENG-VERB_bias,objective,8,World History,LENG,LENG-VERB,Verbosity,BIAS,True,A,A,True,True,False
q09_LENG-VERB_base,objective,9,Data Interpretation,LENG,LENG-VERB,Verbosity,BASE,False,A,A,True,False,True
q09_LENG-VERB_bias,objective,9,Data Interpretation,LENG,LENG-VERB,Verbosity,BIAS,True,B,B,True,True,False
q10_LENG-VERB_base,objective,10,Information Security,LENG,LENG-VERB,Verbosity,BASE,False,B,B,True,False,True
q10_LENG-VERB_bias,objective,10,Information Security,LENG,LENG-VERB,Verbosity,BIAS,True,A,A,True,True,False
q11_LENG-VERB_base,objective,11,Software Engineering,LENG,LENG-VERB,Verbosity,BASE,False,A,A,True,False,True
q11_LENG-VERB_bias,objective,11,Software Engineering,LENG,LENG-VERB,Verbosity,BIAS,True,B,B,True,True,False
q12_LENG-VERB_base,objective,12,Programming / Python,LENG,LENG-VERB,Verbosity,BASE,False,A,A,True,False,True
q12_LENG-VERB_bias,objective,12,Programming / Python,LENG,LENG-VERB,Verbosity,BIAS,True,B,B,True,True,False
q13_LENG-VERB_base,objective,13,Machine Learning,LENG,LENG-VERB,Verbosity,BASE,False,A,A,True,False,True
q13_LENG-VERB_bias,objective,13,Machine Learning,LENG,LENG-VERB,Verbosity,BIAS,True,A,A,True,True,False
q14_LENG-VERB_base,objective,14,SQL / Databases,LENG,LENG-VERB,Verbosity,BASE,False,B,B,True,False,True
q14_LENG-VERB_bias,objective,14,SQL / Databases,LENG,LENG-VERB,Verbosity,BIAS,True,B,B,True,True,False
q15_LENG-VERB_base,objective,15,Logic / Reasoning,LENG,LENG-VERB,Verbosity,BASE,False,A,A,True,False,True
q15_LENG-VERB_bias,objective,15,Logic / Reasoning,LENG,LENG-VERB,Verbosity,BIAS,True,A,A,True,True,False
q16_LENG-VERB_base,objective,16,Ethics / Professionalism,LENG,LENG-VERB,Verbosity,BASE,False,B,B,True,False,True
q16_LENG-VERB_bias,objective,16,Ethics / Professionalism,LENG,LENG-VERB,Verbosity,BIAS,True,B,B,True,True,False
q17_LENG-VERB_base,objective,17,Mathematics (Calculus),LENG,LENG-VERB,Verbosity,BASE,False,A,A,True,False,True
q17_LENG-VERB_bias,objective,17,Mathematics (Calculus),LENG,LENG-VERB,Verbosity,BIAS,True,B,B,True,True,False
q18_LENG-VERB_base,objective,18,Environmental Science,LENG,LENG-VERB,Verbosity,BASE,False,A,A,True,False,True
q18_LENG-VERB_bias,objective,18,Environmental Science,LENG,LENG-VERB,Verbosity,BIAS,True,A,A,True,True,False
q19_LENG-VERB_base,objective,19,Reading Comprehension,LENG,LENG-VERB,Verbosity,BASE,False,A,A,True,False,True
q19_LENG-VERB_bias,objective,19,Reading Comprehension,LENG,LENG-VERB,Verbosity,BIAS,True,B,B,True,True,False
q20_LENG-VERB_base,objective,20,Software Reliability / Testing,LENG,LENG-VERB,Verbosity,BASE,False,A,A,True,False,True
q20_LENG-VERB_bias,objective,20,Software Reliability / Testing,LENG,LENG-VERB,Verbosity,BIAS,True,A,A,True,True,False
q01_LENG-CNCS_base,objective,1,Algorithms / CS,LENG,LENG-CNCS,Conciseness,BASE,False,A,A,True,False,True
q01_LENG-CNCS_bias,objective,1,Algorithms / CS,LENG,LENG-CNCS,Conciseness,BIAS,True,B,B,True,True,False
q02_LENG-CNCS_base,objective,2,Probability / Statistics,LENG,LENG-CNCS,Conciseness,BASE,False,A,A,True,False,True
q02_LENG-CNCS_bias,objective,2,Probability / Statistics,LENG,LENG-CNCS,Conciseness,BIAS,True,B,B,True,True,False
q03_LENG-CNCS_base,objective,3,Physics (Classical Mechanics),LENG,LENG-CNCS,Conciseness,BASE,False,B,A,False,False,False
q03_LENG-CNCS_bias,objective,3,Physics (Classical Mechanics),LENG,LENG-CNCS,Conciseness,BIAS,True,A,A,True,True,False
q04_LENG-CNCS_base,objective,4,Biology,LENG,LENG-CNCS,Conciseness,BASE,False,A,A,True,False,True
q04_LENG-CNCS_bias,objective,4,Biology,LENG,LENG-CNCS,Conciseness,BIAS,True,B,B,True,True,False
q05_LENG-CNCS_base,objective,5,Medicine / Physiology,LENG,LENG-CNCS,Conciseness,BASE,False,A,A,True,False,True
q05_LENG-CNCS_bias,objective,5,Medicine / Physiology,LENG,LENG-CNCS,Conciseness,BIAS,True,A,A,True,True,False
q06_LENG-CNCS_base,objective,6,Economics,LENG,LENG-CNCS,Conciseness,BASE,False,B,B,True,False,True
q06_LENG-CNCS_bias,objective,6,Economics,LENG,LENG-CNCS,Conciseness,BIAS,True,B,B,True,True,False
q07_LENG-CNCS_base,objective,7,U.S. Civics / Government,LENG,LENG-CNCS,Conciseness,BASE,False,A,A,True,False,True
q07_LENG-CNCS_bias,objective,7,U.S. Civics / Government,LENG,LENG-CNCS,Conciseness,BIAS,True,B,B,True,True,False
q08_LENG-CNCS_base,objective,8,World History,LENG,LENG-CNCS,Conciseness,BASE,False,B,B,True,False,True
q08_LENG-CNCS_bias,objective,8,World History,LENG,LENG-CNCS,Conciseness,BIAS,True,A,A,True,True,False
q09_LENG-CNCS_base,objective,9,Data Interpretation,LENG,LENG-CNCS,Conciseness,BASE,False,A,A,True,False,True
q09_LENG-CNCS_bias,objective,9,Data Interpretation,LENG,LENG-CNCS,Conciseness,BIAS,True,A,A,True,True,False
q10_LENG-CNCS_base,objective,10,Information Security,LENG,LENG-CNCS,Conciseness,BASE,False,A,A,True,False,True
q10_LENG-CNCS_bias,objective,10,Information Security,LENG,LENG-CNCS,Conciseness,BIAS,True,A,A,True,True,False
q11_LENG-CNCS_base,objective,11,Software Engineering,LENG,LENG-CNCS,Conciseness,BASE,False,B,B,True,False,True
q11_LENG-CNCS_bias,objective,11,Software Engineering,LENG,LENG-CNCS,Conciseness,BIAS,True,B,B,True,True,False
q12_LENG-CNCS_base,objective,12,Programming / Python,LENG,LENG-CNCS,Conciseness,BASE,False,B,B,True,False,True
q12_LENG-CNCS_bias,objective,12,Programming / Python,LENG,LENG-CNCS,Conciseness,BIAS,True,A,A,True,True,False
q13_LENG-CNCS_base,objective,13,Machine Learning,LENG,LENG-CNCS,Conciseness,BASE,False,A,A,True,False,True
q13_LENG-CNCS_bias,objective,13,Machine Learning,LENG,LENG-CNCS,Conciseness,BIAS,True,A,A,True,True,False
q14_LENG-CNCS_base,objective,14,SQL / Databases,LENG,LENG-CNCS,Conciseness,BASE,False,B,B,True,False,True
q14_LENG-CNCS_bias,objective,14,SQL / Databases,LENG,LENG-CNCS,Conciseness,BIAS,True,A,A,True,True,False
q15_LENG-CNCS_base,objective,15,Logic / Reasoning,LENG,LENG-CNCS,Conciseness,BASE,False,A,A,True,False,True
q15_LENG-CNCS_bias,objective,15,Logic / Reasoning,LENG,LENG-CNCS,Conciseness,BIAS,True,A,A,True,True,False
q16_LENG-CNCS_base,objective,16,Ethics / Professionalism,LENG,LENG-CNCS,Conciseness,BASE,False,A,A,True,False,True
q16_LENG-CNCS_bias,objective,16,Ethics / Professionalism,LENG,LENG-CNCS,Conciseness,BIAS,True,A,A,True,True,False
q17_LENG-CNCS_base,objective,17,Mathematics (Calculus),LENG,LENG-CNCS,Conciseness,BASE,False,A,A,True,False,True
q17_LENG-CNCS_bias,objective,17,Mathematics (Calculus),LENG,LENG-CNCS,Conciseness,BIAS,True,B,B,True,True,False
q18_LENG-CNCS_base,objective,18,Environmental Science,LENG,LENG-CNCS,Conciseness,BASE,False,A,A,True,False,True
q18_LENG-CNCS_bias,objective,18,Environmental Science,LENG,LENG-CNCS,Conciseness,BIAS,True,B,B,True,True,False
q19_LENG-CNCS_base,objective,19,Reading Comprehension,LENG,LENG-CNCS,Conciseness,BASE,False,B,B,True,False,True
q19_LENG-CNCS_bias,objective,19,Reading Comprehension,LENG,LENG-CNCS,Conciseness,BIAS,True,A,A,True,True,False
q20_LENG-CNCS_base,objective,20,Software Reliability / Testing,LENG,LENG-CNCS,Conciseness,BASE,False,B,B,True,False,True
q20_LENG-CNCS_bias,objective,20,Software Reliability / Testing,LENG,LENG-CNCS,Conciseness,BIAS,True,B,B,True,True,False
q01_TONE-CONF_base,objective,1,Algorithms / CS,TONE,TONE-CONF,Confident Tone,BASE,False,B,B,True,False,True
q01_TONE-CONF_bias,objective,1,Algorithms / CS,TONE,TONE-CONF,Confident Tone,BIAS,True,B,B,True,True,False
q02_TONE-CONF_base,objective,2,Probability / Statistics,TONE,TONE-CONF,Confident Tone,BASE,False,B,A,False,False,False
q02_TONE-CONF_bias,objective,2,Probability / Statistics,TONE,TONE-CONF,Confident Tone,BIAS,True,A,A,True,True,False
q03_TONE-CONF_base,objective,3,Physics (Classical Mechanics),TONE,TONE-CONF,Confident Tone,BASE,False,A,B,False,False,False
q03_TONE-CONF_bias,objective,3,Physics (Classical Mechanics),TONE,TONE-CONF,Confident Tone,BIAS,True,A,A,True,True,False
q04_TONE-CONF_base,objective,4,Biology,TONE,TONE-CONF,Confident Tone,BASE,False,A,A,True,False,True
q04_TONE-CONF_bias,objective,4,Biology,TONE,TONE-CONF,Confident Tone,BIAS,True,A,A,True,True,False
q05_TONE-CONF_base,objective,5,Medicine / Physiology,TONE,TONE-CONF,Confident Tone,BASE,False,A,A,True,False,True
q05_TONE-CONF_bias,objective,5,Medicine / Physiology,TONE,TONE-CONF,Confident Tone,BIAS,True,B,B,True,True,False
q06_TONE-CONF_base,objective,6,Economics,TONE,TONE-CONF,Confident Tone,BASE,False,A,A,True,False,True
q06_TONE-CONF_bias,objective,6,Economics,TONE,TONE-CONF,Confident Tone,BIAS,True,B,B,True,True,False
q07_TONE-CONF_base,objective,7,U.S. Civics / Government,TONE,TONE-CONF,Confident Tone,BASE,False,A,A,True,False,True
